customer_id,branch_id,first_name,last_name,dob,gender,email,phone,address,account_open_date
1,QT0021,Rachita,Tandon,27-07-78,F,ryan40@example.org,7000002987,"60/736, Swamy Nagar, Mango-248774",11-01-07
2,QT0010,Naveen,Sura,06-08-96,F,hmani@example.org,8342433207,"14/469, Natt Road, Bhiwani-380292",03-08-13
3,QT0020,Warda,Dalal,18-10-91,M,qadimradhakrishnan@example.com,6871611823,"H.No. 21, Raja Chowk, Guwahati 468597",30-06-18
4,QT0024,Noah,Lall,27-10-77,F,idikachhabra@example.net,9335875952,"89/28, Varkey Nagar, Moradabad 908874",14-12-06
5,QT0004,Charvi,Atwal,13-04-58,M,mohammedsibal@example.org,7725492045,"20/40, Dora Road, Tiruchirappalli-718976",26-07-16
6,QT0014,Luke,Kota,05-06-84,M,rachana69@example.org,9476423239,"H.No. 678, Rama Path, Rourkela 425123",26-08-10
7,QT0013,Vaishnavi,Kurian,26-05-94,F,ekapadsubramanian@example.org,9303611993,"75, Kari Nagar, Malda 952965",24-08-11
8,QT0009,Aryan,Varkey,11-09-60,F,raagini75@example.com,9735929061,"01/577, Patil Ganj, Burhanpur 007915",20-11-15
9,QT0021,Vedika,Kibe,30-04-85,M,veda72@example.com,8567903972,"H.No. 054, Mukhopadhyay Ganj, Sagar 865025",14-07-10
10,QT0015,Ranbir,Kothari,16-01-72,F,tanishtandon@example.net,7513178991,"05/416, Patla Street, Nangloi Jat 063319",07-03-12
11,QT0018,Chakradhar,Bala,17-02-90,F,amara14@example.net,8909197310,"549, Nair Nagar, Tenali 056258",02-09-09
12,QT0018,Vedika,Khalsa,05-06-51,F,yash91@example.net,8387185721,"H.No. 731, Kunda Nagar, Danapur 613903",14-10-15
13,QT0021,Balhaar,Kuruvilla,10-07-67,M,ekbalseth@example.com,7667959933,"24/36, Sharaf Street, Malegaon 765601",08-04-18
14,QT0021,Neelima,Chakrabarti,21-03-79,M,advaygala@example.org,6630035598,"H.No. 718, Bath Path, Bidar 299341",10-08-11
15,QT0008,Daksh,Ravel,10-07-56,F,finn11@example.org,6991055334,"H.No. 390, Kumar Chowk, Navi Mumbai-810188",29-10-16
16,QT0017,Oviya,Sekhon,03-10-77,M,baljiwan96@example.org,7966504388,"05, Boase Path, Shimoga-235095",19-09-21
17,QT0015,Wakeeta,Patel,16-04-56,F,gboase@example.net,6448523546,"H.No. 359, Kalla Road, Muzaffarpur 709376",14-05-17
18,QT0013,Zashil,Nayak,13-07-66,M,xchopra@example.org,7981427101,"197, Deep Chowk, Rourkela-255324",06-03-16
19,QT0003,Aarav,Ahuja,07-08-72,F,vrindabuch@example.com,6977309025,"H.No. 778, Wagle Nagar, Mira-Bhayandar 793520",01-03-13
20,QT0003,Aashi,Kunda,20-10-60,M,jkhatri@example.net,8331051898,"918, Barman Nagar, Akola-406134",09-04-11
21,QT0016,Indrajit,Nayar,18-10-90,M,vaidyasamaksh@example.com,7724212062,"646, Ganesh Marg, Kollam-372772",21-04-08
22,QT0019,Daniel,Dara,14-11-69,M,elijah05@example.net,9247875251,"57/38, Rao Road, Shimla-411736",28-03-21
23,QT0025,Hitesh,Bava,07-02-50,F,ucchalram@example.com,6991351418,"H.No. 305, Bansal Zila, Ratlam 779593",02-12-11
24,QT0012,Bachittar,Srivastava,12-05-06,F,sarraflakshit@example.net,8742024846,"764, Sule Chowk, Jodhpur-984625",30-10-15
25,QT0025,Pratyush,Thaker,17-03-55,M,darpan09@example.org,8434318865,"H.No. 56, Manne Street, Bhagalpur-161576",29-11-22
26,QT0012,Akshay,Apte,05-07-87,F,deourishilla@example.net,6227324217,"64, Mistry, Machilipatnam 153057",03-01-09
27,QT0019,Yoshita,Ahuja,18-11-77,F,santnidhi@example.net,8466220676,"959, Sridhar Circle, Srikakulam-196366",07-06-05
28,QT0002,Chanchal,Chopra,09-08-57,F,aryan19@example.com,7216121501,"07/69, Raj Marg, Amritsar-504733",30-07-06
29,QT0022,Owen,Aggarwal,27-12-99,M,auroraedhitha@example.net,8835654370,"012, Bumb Ganj, Yamunanagar 153025",27-10-19
30,QT0023,Netra,Subramanian,28-07-72,F,isaiahsuri@example.org,7954308985,"H.No. 333, Chhabra Nagar, Medininagar-495869",12-11-05
31,QT0010,Arjun,Lad,17-11-77,F,suragautami@example.com,7882399689,"H.No. 964, Reddy Path, Solapur-545758",29-08-07
32,QT0003,Hitesh,Mody,27-10-70,F,onveer18@example.org,7623138993,"H.No. 02, Jhaveri, Maheshtala 645786",14-07-23
33,QT0008,Bhavna,Babu,08-06-83,F,harrison01@example.com,8956610934,"H.No. 477, Anne, Ratlam 260635",01-11-10
34,QT0015,Raagini,Bhagat,09-07-71,M,vamakshi16@example.net,6218882186,"H.No. 774, Dugar Road, Tiruvottiyur-777249",08-07-08
35,QT0009,Anmol,Bakshi,03-12-92,F,kaulubika@example.net,9091385834,"H.No. 36, Ghosh Marg, Ahmedabad-678168",22-11-19
36,QT0020,Nidra,Dada,24-10-90,M,ekani14@example.com,6489113890,"83/439, Handa Nagar, Bhagalpur 959649",29-03-15
37,QT0001,Janani,Bahl,19-07-82,F,pratta@example.net,8015445494,"00, Nanda, Noida-647100",15-11-06
38,QT0008,Bina,Manda,24-01-64,F,padmanabhanaahana@example.com,8603458054,"H.No. 61, Reddy Zila, Jabalpur 898741",21-12-07
39,QT0008,Adya,Panchal,24-06-62,M,mahikapanchal@example.net,9774098886,"H.No. 64, Andra Zila, Anantapur-174671",15-09-09
40,QT0002,Vihaan,Dugal,01-05-51,F,mallickqarin@example.org,7919925271,"H.No. 590, Mann Zila, Alwar-647048",13-08-10
41,QT0023,Peter,Swamy,04-11-93,F,fmadan@example.net,6175914026,"H.No. 328, Lal Road, Patiala 785749",27-07-16
42,QT0001,Isha,Sagar,26-06-65,M,sudikshamaharaj@example.org,6476355606,"H.No. 26, Bhandari Circle, Asansol-305297",07-07-18
43,QT0013,Rachita,Shah,26-11-62,F,iryasibal@example.org,6293561602,"H.No. 589, Lata Road, Mau 663175",21-09-12
44,QT0021,Vasudha,Mani,09-08-66,F,madansaanvi@example.net,8137390068,"145, Jha Marg, Jamnagar 314778",08-05-09
45,QT0004,Chavvi,Bhatia,23-08-74,F,dyallavanya@example.org,7512330171,"H.No. 758, Ramaswamy Chowk, Ratlam 011231",07-02-14
46,QT0020,Veer,Nadig,09-07-61,M,sshroff@example.org,6967238934,"98/398, Nazareth Ganj, Erode-331328",08-04-06
47,QT0017,Anay,Mittal,04-04-62,M,ishanvi37@example.org,6426592965,"H.No. 79, Garg Circle, Berhampore 838963",01-09-19
48,QT0018,Samesh,Hayre,17-06-99,F,neelgera@example.net,7467640946,"69/79, Balakrishnan Circle, Bikaner 567337",01-12-09
49,QT0014,Tanvi,Panchal,21-05-74,F,yuvrajgara@example.org,7891307225,"02/38, Vohra Chowk, Jodhpur 737254",12-03-18
50,QT0004,Peter,Mand,16-07-51,M,barkha78@example.org,9792180023,"H.No. 27, Mannan Circle, Sirsa 519661",21-04-13
51,QT0013,Wyatt,Karpe,06-05-80,M,rsaha@example.net,8429663813,"20, Banik Street, Dehradun 482837",17-07-17
52,QT0018,Zilmil,Sundaram,30-08-80,M,zyogi@example.org,8604469275,"H.No. 72, Goswami, Barasat-391576",02-02-08
53,QT0013,Nikita,Master,01-11-80,M,ramaswamydiya@example.net,6400227231,"047, Bali Road, Gwalior-871371",14-12-23
54,QT0008,Varenya,Jani,01-04-82,M,omajadatta@example.org,8741835324,"97/933, Buch Street, Coimbatore-480141",08-05-23
55,QT0002,Yahvi,Seth,23-12-91,F,rajatamittal@example.org,8268139810,"44/15, Prabhu Marg, Pudukkottai 353377",20-01-14
56,QT0025,Hemani,Goel,06-06-05,F,fariqramachandran@example.net,6210722507,"142, Chanda Road, Fatehpur 124452",15-12-16
57,QT0004,Ucchal,Dey,07-07-88,M,odate@example.com,6750683236,"41/66, Om Nagar, Loni 038671",06-02-07
58,QT0012,Samesh,Andra,01-09-65,F,usampath@example.org,6885062498,"173, Padmanabhan Street, Rajpur Sonarpur 723804",15-04-22
59,QT0011,Ekiya,Garg,08-03-94,M,bavaazad@example.com,8893210574,"833, Singh Chowk, Deoghar-672996",14-12-07
60,QT0020,Vasudha,Behl,24-04-04,M,jeevika31@example.net,9558399728,"H.No. 007, Chandran Nagar, Kulti-845955",28-02-18
61,QT0003,Rayaan,Warrior,11-10-56,F,jagvichaudhry@example.net,7515287431,"89/79, Dass, Dhule 429880",03-01-21
62,QT0008,Naveen,Bandi,19-04-65,M,bawaadvaith@example.org,8362318624,"93/215, Roy Zila, Dhule 954056",14-08-16
63,QT0016,Lavanya,Khurana,11-10-89,F,jeet08@example.net,7821784335,"H.No. 22, Wali, Asansol-841252",04-06-08
