display_id,customer_id,branch_id,first_name,last_name,dob,age,gender,email,phone,address,account_open_date,customer_tenure_days,customer_segment,outlier_flag
1,1,QT0021,Rachita,Tandon,1978-07-27,47,Female,ryan40@example.org,7025702592,"60/736, Swamy Nagar, Mango-248774",2007-01-11,6874,VIP,0
2,2,QT0010,Naveen,Sura,1996-08-06,29,Female,hmani@example.org,8342433207,"14/469, Natt Road, Bhiwani-380292",2013-08-03,4478,VIP,0
3,3,QT0020,Warda,Dalal,1991-10-18,34,Male,qadimradhakrishnan@example.com,6871611823,"H.No. 21, Raja Chowk, Guwahati 468597",2018-06-30,2686,VIP,0
4,4,QT0024,Noah,Lall,1977-10-27,48,Female,idikachhabra@example.net,9335875952,"89/28, Varkey Nagar, Moradabad 908874",2006-12-14,6902,VIP,0
5,5,QT0004,Charvi,Atwal,1958-04-13,67,Male,mohammedsibal@example.org,7725492045,"20/40, Dora Road, Tiruchirappalli-718976",2016-07-26,3390,VIP,0
6,6,QT0014,Luke,Kota,1984-06-05,41,Male,rachana69@example.org,9476423239,"H.No. 678, Rama Path, Rourkela 425123",2010-08-26,5551,VIP,0
7,7,QT0013,Vaishnavi,Kurian,1994-05-26,31,Female,ekapadsubramanian@example.org,9303611993,"75, Kari Nagar, Malda 952965",2011-08-24,5188,VIP,0
8,8,QT0009,Aryan,Varkey,1960-09-11,65,Female,raagini75@example.com,9735929061,"01/577, Patil Ganj, Burhanpur 007915",2015-11-20,3639,VIP,0
9,9,QT0021,Vedika,Kibe,1985-04-30,40,Male,veda72@example.com,8567903972,"H.No. 054, Mukhopadhyay Ganj, Sagar 865025",2010-07-14,5594,VIP,0
10,10,QT0015,Ranbir,Kothari,1972-01-16,53,Female,tanishtandon@example.net,7513178991,"05/416, Patla Street, Nangloi Jat 063319",2012-03-07,4992,VIP,0
11,11,QT0018,Chakradhar,Bala,1990-02-17,35,Female,amara14@example.net,8909197310,"549, Nair Nagar, Tenali 056258",2009-09-02,5909,VIP,0
12,12,QT0018,Vedika,Khalsa,1951-06-05,74,Female,yash91@example.net,8387185721,"H.No. 731, Kunda Nagar, Danapur 613903",2015-10-14,3676,VIP,0
13,13,QT0021,Balhaar,Kuruvilla,1967-07-10,58,Male,ekbalseth@example.com,7667959933,"24/36, Sharaf Street, Malegaon 765601",2018-04-08,2769,VIP,0
14,14,QT0021,Neelima,Chakrabarti,1979-03-21,46,Male,advaygala@example.org,6630035598,"H.No. 718, Bath Path, Bidar 299341",2011-08-10,5202,VIP,0
15,15,QT0008,Daksh,Ravel,1956-07-10,69,Female,finn11@example.org,6991055334,"H.No. 390, Kumar Chowk, Navi Mumbai-810188",2016-10-29,3295,VIP,0
16,16,QT0017,Oviya,Sekhon,1977-10-03,48,Male,baljiwan96@example.org,7966504388,"05, Boase Path, Shimoga-235095",2021-09-19,1509,VIP,0
17,17,QT0015,Wakeeta,Patel,1956-04-16,69,Female,gboase@example.net,6448523546,"H.No. 359, Kalla Road, Muzaffarpur 709376",2017-05-14,3098,VIP,0
18,18,QT0013,Zashil,Nayak,1966-07-13,59,Male,xchopra@example.org,7981427101,"197, Deep Chowk, Rourkela-255324",2016-03-06,3532,VIP,0
19,19,QT0003,Aarav,Ahuja,1972-08-07,53,Female,vrindabuch@example.com,6977309025,"H.No. 778, Wagle Nagar, Mira-Bhayandar 793520",2013-03-01,4633,VIP,0
20,20,QT0003,Aashi,Kunda,1960-10-20,65,Male,jkhatri@example.net,8331051898,"918, Barman Nagar, Akola-406134",2011-04-09,5325,VIP,0
21,21,QT0016,Indrajit,Nayar,1990-10-18,35,Male,vaidyasamaksh@example.com,7724212062,"646, Ganesh Marg, Kollam-372772",2008-04-21,6408,VIP,0
22,22,QT0019,Daniel,Dara,1969-11-14,55,Male,elijah05@example.net,9247875251,"57/38, Rao Road, Shimla-411736",2021-03-28,1684,VIP,0
23,23,QT0025,Hitesh,Bava,1950-02-07,75,Female,ucchalram@example.com,6991351418,"H.No. 305, Bansal Zila, Ratlam 779593",2011-12-02,5088,VIP,0
24,24,QT0012,Bachittar,Srivastava,2006-05-12,19,Female,sarraflakshit@example.net,8742024846,"764, Sule Chowk, Jodhpur-984625",2015-10-30,3660,VIP,0
25,25,QT0025,Pratyush,Thaker,1955-03-17,70,Male,darpan09@example.org,8434318865,"H.No. 56, Manne Street, Bhagalpur-161576",2022-11-29,1073,VIP,0
26,26,QT0012,Akshay,Apte,1987-07-05,38,Female,deourishilla@example.net,6227324217,"64, Mistry, Machilipatnam 153057",2009-01-03,6151,VIP,0
27,27,QT0019,Yoshita,Ahuja,1977-11-18,47,Female,santnidhi@example.net,8466220676,"959, Sridhar Circle, Srikakulam-196366",2005-06-07,7457,VIP,0
28,28,QT0002,Chanchal,Chopra,1957-08-09,68,Female,aryan19@example.com,7216121501,"07/69, Raj Marg, Amritsar-504733",2006-07-30,7039,VIP,0
29,29,QT0022,Owen,Aggarwal,1999-12-27,25,Male,auroraedhitha@example.net,8835654370,"012, Bumb Ganj, Yamunanagar 153025",2019-10-27,2202,VIP,0
30,30,QT0023,Netra,Subramanian,1972-07-28,53,Female,isaiahsuri@example.org,7954308985,"H.No. 333, Chhabra Nagar, Medininagar-495869",2005-11-12,7299,VIP,0
31,31,QT0010,Arjun,Lad,1977-11-17,47,Female,suragautami@example.com,7882399689,"H.No. 964, Reddy Path, Solapur-545758",2007-08-29,6644,VIP,0
32,32,QT0003,Hitesh,Mody,1970-10-27,55,Female,onveer18@example.org,7623138993,"H.No. 02, Jhaveri, Maheshtala 645786",2023-07-14,846,VIP,0
33,33,QT0008,Bhavna,Babu,1983-06-08,42,Female,harrison01@example.com,8956610934,"H.No. 477, Anne, Ratlam 260635",2010-11-01,5484,VIP,0
34,34,QT0015,Raagini,Bhagat,1971-07-09,54,Male,vamakshi16@example.net,6218882186,"H.No. 774, Dugar Road, Tiruvottiyur-777249",2008-07-08,6330,VIP,0
35,35,QT0009,Anmol,Bakshi,1992-12-03,32,Female,kaulubika@example.net,9091385834,"H.No. 36, Ghosh Marg, Ahmedabad-678168",2019-11-22,2176,VIP,0
36,36,QT0020,Nidra,Dada,1990-10-24,35,Male,ekani14@example.com,6489113890,"83/439, Handa Nagar, Bhagalpur 959649",2015-03-29,3875,VIP,0
37,37,QT0001,Janani,Bahl,1982-07-19,43,Female,pratta@example.net,8015445494,"00, Nanda, Noida-647100",2006-11-15,6931,VIP,0
38,38,QT0008,Bina,Manda,1964-01-24,61,Female,padmanabhanaahana@example.com,8603458054,"H.No. 61, Reddy Zila, Jabalpur 898741",2007-12-21,6530,VIP,0
39,39,QT0008,Adya,Panchal,1962-06-24,63,Male,mahikapanchal@example.net,9774098886,"H.No. 64, Andra Zila, Anantapur-174671",2009-09-15,5896,VIP,0
40,40,QT0002,Vihaan,Dugal,1951-05-01,74,Female,mallickqarin@example.org,7919925271,"H.No. 590, Mann Zila, Alwar-647048",2010-08-13,5564,VIP,0
41,41,QT0023,Peter,Swamy,1993-11-04,32,Female,fmadan@example.net,6175914026,"H.No. 328, Lal Road, Patiala 785749",2016-07-27,3389,VIP,0
42,42,QT0001,Isha,Sagar,1965-06-26,60,Male,sudikshamaharaj@example.org,6476355606,"H.No. 26, Bhandari Circle, Asansol-305297",2018-07-07,2679,VIP,0
43,43,QT0013,Rachita,Shah,1962-11-26,62,Female,iryasibal@example.org,6293561602,"H.No. 589, Lata Road, Mau 663175",2012-09-21,4794,VIP,0
44,44,QT0021,Vasudha,Mani,1966-08-09,59,Female,madansaanvi@example.net,8137390068,"145, Jha Marg, Jamnagar 314778",2009-05-08,6026,VIP,0
45,45,QT0004,Chavvi,Bhatia,1974-08-23,51,Female,dyallavanya@example.org,7512330171,"H.No. 758, Ramaswamy Chowk, Ratlam 011231",2014-02-07,4290,VIP,0
46,46,QT0020,Veer,Nadig,1961-07-09,64,Male,sshroff@example.org,6967238934,"98/398, Nazareth Ganj, Erode-331328",2006-04-08,7152,VIP,0
47,47,QT0017,Anay,Mittal,1962-04-04,63,Male,ishanvi37@example.org,6426592965,"H.No. 79, Garg Circle, Berhampore 838963",2019-09-01,2258,VIP,0
48,48,QT0018,Samesh,Hayre,1999-06-17,26,Female,neelgera@example.net,7467640946,"69/79, Balakrishnan Circle, Bikaner 567337",2009-12-01,5819,VIP,0
49,49,QT0014,Tanvi,Panchal,1974-05-21,51,Female,yuvrajgara@example.org,7891307225,"02/38, Vohra Chowk, Jodhpur 737254",2018-03-12,2796,VIP,0
50,50,QT0004,Peter,Mand,1951-07-16,74,Male,barkha78@example.org,9792180023,"H.No. 27, Mannan Circle, Sirsa 519661",2013-04-21,4582,VIP,0
51,51,QT0013,Wyatt,Karpe,1980-05-06,45,Male,rsaha@example.net,8429663813,"20, Banik Street, Dehradun 482837",2017-07-17,3034,VIP,0
52,52,QT0018,Zilmil,Sundaram,1980-08-30,45,Male,zyogi@example.org,8604469275,"H.No. 72, Goswami, Barasat-391576",2008-02-02,6487,VIP,0
53,53,QT0013,Nikita,Master,1980-11-01,45,Male,ramaswamydiya@example.net,6400227231,"047, Bali Road, Gwalior-871371",2023-12-14,693,Regular,0
54,54,QT0008,Varenya,Jani,1982-04-01,43,Male,omajadatta@example.org,8741835324,"97/933, Buch Street, Coimbatore-480141",2023-05-08,913,VIP,0
55,55,QT0002,Yahvi,Seth,1991-12-23,33,Female,rajatamittal@example.org,8268139810,"44/15, Prabhu Marg, Pudukkottai 353377",2014-01-20,4308,VIP,0
56,56,QT0025,Hemani,Goel,2005-06-06,20,Female,fariqramachandran@example.net,6210722507,"142, Chanda Road, Fatehpur 124452",2016-12-15,3248,VIP,0
57,57,QT0004,Ucchal,Dey,1988-07-07,37,Male,odate@example.com,6750683236,"41/66, Om Nagar, Loni 038671",2007-02-06,6848,VIP,0
58,58,QT0012,Samesh,Andra,1965-09-01,60,Female,usampath@example.org,6885062498,"173, Padmanabhan Street, Rajpur Sonarpur 723804",2022-04-15,1301,VIP,0
59,59,QT0011,Ekiya,Garg,1994-03-08,31,Male,bavaazad@example.com,8893210574,"833, Singh Chowk, Deoghar-672996",2007-12-14,6537,VIP,0
60,60,QT0020,Vasudha,Behl,2004-04-24,21,Male,jeevika31@example.net,9558399728,"H.No. 007, Chandran Nagar, Kulti-845955",2018-02-28,2808,VIP,0
61,61,QT0003,Rayaan,Warrior,1956-10-11,69,Female,jagvichaudhry@example.net,7515287431,"89/79, Dass, Dhule 429880",2021-01-03,1768,VIP,0
62,62,QT0008,Naveen,Bandi,1965-04-19,60,Male,bawaadvaith@example.org,8362318624,"93/215, Roy Zila, Dhule 954056",2016-08-14,3371,VIP,0
63,63,QT0016,Lavanya,Khurana,1989-10-11,36,Female,jeet08@example.net,7821784335,"H.No. 22, Wali, Asansol-841252",2008-06-04,6364,VIP,0
64,64,QT0021,Isaiah,Barad,1996-09-02,29,Male,indirabava@example.org,6750344349,"H.No. 83, Khalsa Chowk, Ambala 860336",2007-05-22,6743,VIP,0
65,65,QT0024,Warhi,Kara,1968-12-16,56,Female,mloyal@example.com,7474663574,"49/06, Jha Street, Allahabad 655795",2023-01-01,1040,VIP,0
66,66,QT0017,Yauvani,Salvi,1965-09-13,60,Male,dayamai78@example.org,6904245723,"70, Devan Ganj, Dharmavaram 590691",2020-01-09,2128,VIP,0
67,67,QT0003,Harini,Nath,1980-10-04,45,Male,zarora@example.org,7214640910,"170, Khanna Nagar, Chinsurah-679061",2012-08-20,4826,VIP,0
68,68,QT0014,Samesh,Bahri,1966-04-10,59,Male,nilima85@example.net,7395868309,"437, Buch, Dibrugarh 595499",2006-04-04,7156,VIP,0
69,69,QT0021,Dominic,Sabharwal,2007-05-08,18,Female,sridharrachit@example.org,9911062760,"69/661, Chaudhry Circle, Sonipat-487914",2012-02-04,5024,VIP,0
70,70,QT0016,Kavya,Tella,1963-12-02,61,Male,okakar@example.com,7587963364,"97, Sahni Path, Naihati-711931",2021-04-04,1677,VIP,0
71,71,QT0023,Hemangini,Desai,1981-03-12,44,Male,kademaanas@example.net,7394393387,"17, Choudhary Path, Bhalswa Jahangir Pur-398938",2017-03-26,3147,VIP,0
72,72,QT0014,Vanya,Mittal,2000-08-20,25,Female,unnati97@example.com,8551154735,"H.No. 63, Tella Nagar, Surendranagar Dudhrej-913485",2017-11-07,2921,VIP,0
73,73,QT0001,Teerth,Gole,1958-06-28,67,Female,ikeer@example.com,9238257119,"14/761, Magar Ganj, Orai-977691",2022-07-10,1215,VIP,0
74,74,QT0010,Balvan,Dhingra,1982-12-16,42,Female,lalaadya@example.org,6528953522,"63/843, Bajaj Chowk, Jhansi 524384",2007-01-31,6854,VIP,0
75,75,QT0001,Nathaniel,Sood,1981-09-08,44,Female,udant07@example.net,8625318477,"054, Balasubramanian Chowk, Nandyal-216023",2008-08-27,6280,VIP,0
76,76,QT0023,Chandani,Savant,2005-12-19,19,Male,bhavsarhema@example.com,7942677544,"24/570, Gulati, Anantapuram 982732",2006-12-11,6905,VIP,0
77,77,QT0015,Neel,Devan,1977-08-09,48,Female,rbhat@example.net,7589687240,"09/468, Koshy Marg, Amaravati-760469",2006-06-15,7084,VIP,0
78,78,QT0022,Nitara,Bal,1986-06-24,39,Male,oeshi53@example.org,8239007655,"H.No. 707, Parsa Zila, Indore-858455",2024-04-21,564,Regular,0
79,79,QT0011,Liam,Lata,1986-01-14,39,Female,ekbalbath@example.com,9364857035,"38, Cherian, Danapur 258684",2017-08-21,2999,VIP,0
